name,mgmt_ip,device_type,vendor,model,credential_profile,port
SH-MH-502-F09U36-H3CS9825-GL0-09102,10.252.80.229,switch,h3c,S9825,default,22
SH-MH-502-K09U36-H3CS9825-GL0-09103,10.252.80.230,switch,h3c,S9825,default,22
SH-MH-601-M11U32-H3CS9825-GL0-09104,10.252.80.231,switch,h3c,S9825,default,22
SH-MH-501-K09U38-H3CS9825-01-S0-10101,10.252.80.232,switch,h3c,S9825,default,22
SH-MH-501-J11U38-H3CS9825-01-S0-10102,10.252.80.233,switch,h3c,S9825,default,22
SH-MH-501-D09U38-H3CS9825-S0-10201,10.252.80.234,switch,h3c,S9825,default,22
SH-MH-501-L11U38-H3CS9825-S0-10202,10.252.80.235,switch,h3c,S9825,default,22
SH-MH-501-C11U37-H3CS9820-C0-11101,10.252.80.236,switch,h3c,S9820,default,22
SH-MH-501-K09U33-H3CS9820-C0-11102,10.252.80.237,switch,h3c,S9820,default,22
SH-MH-501-F10U39-H3CS9820-C0-11103,10.252.80.238,switch,h3c,S9820,default,22
SH-MH-501-M11U41-H3CS9820-C0-11104,10.252.80.239,switch,h3c,S9820,default,22
SH-MH-601-G11U37-H3CS9820-C0-11105,10.252.80.240,switch,h3c,S9820,default,22
SH-MH-601-M11U37-H3CS9820-C0-11106,10.252.80.241,switch,h3c,S9820,default,22
SH-MH-501-A09U41-H3CS9820-C0-11107,10.252.80.242,switch,h3c,S9820,default,22
SH-MH-501-H09U41-H3CS9820-C0-11108,10.252.80.243,switch,h3c,S9820,default,22
SH-MH-501-B10U41-H3CS6850-C0-11201,10.252.80.244,switch,h3c,S6850,default,22
SH-MH-501-C11U41-H3CS6850-C0-11202,10.252.80.245,switch,h3c,S6850,default,22
SH-MH-501-I11U41-H3CS6850-C0-11203,10.252.80.246,switch,h3c,S6850,default,22
SH-MH-501-J09U41-H3CS6850-C0-11204,10.252.80.247,switch,h3c,S6850,default,22
SH-MH-601-D09U39-H3CS6850-C0-11205,10.252.80.248,switch,h3c,S6850,default,22
SH-MH-601-E11U39-H3CS6850-C0-11206,10.252.80.249,switch,h3c,S6850,default,22
SH-MH-601-K09U39-H3CS6850-C0-11207,10.252.80.250,switch,h3c,S6850,default,22
SH-MH-601-L11U39-H3CS6850-C0-11208,10.252.80.251,switch,h3c,S6850,default,22
SH-MH-601-B06U14-H3CS9820-YL1-01001,10.252.80.252,switch,h3c,S9820,default,22
SH-MH-601-B07U14-H3CS9820-YL1-01002,10.252.80.253,switch,h3c,S9820,default,22
SH-MH-601-B09U14-H3CS9820-YL1-01003,10.252.80.254,switch,h3c,S9820,default,22
SH-MH-601-B10U14-H3CS9820-YL1-01004,10.252.80.255,switch,h3c,S9820,default,22
